# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.539551	0.390625	0.835938	-21.070000	-83.160004	48.720001	0.00	0.000000	0.000000	11.00	12.00	6.75	10.00	5.50	9.25	1.25	6.00	3.75	2.75	5.00	4.00	4.50	4.25	1.50	2.50	-0.206543	0.083496	0.963867	-1.750000	-3.430000	-0.000000	876.00	-0.096943	-0.103635		
3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.462402	-0.071289	0.435547	-26.180000	62.860001	132.160004	0.00	0.000000	0.000000	9.75	10.25	6.00	9.00	5.75	9.00	1.00	6.00	3.75	2.50	5.00	4.00	4.25	5.00	1.75	2.25	-0.210938	0.082031	0.966797	-2.590000	-1.610000	-0.980000	831.00	-0.080959	-0.103574		11.00
3.40	6.25	1.75	5.00	2.25	1.25	1.00	0.25	0.75	1.25	5.25	4.75	2.00	1.50	9.50	0.25	0.50	-0.296875	0.156738	1.034668	0.070000	5.950000	-9.310000	405.00	0.028919	0.003181	2.25	1.25	1.50	1.75	1.50	5.00	1.00	4.25	3.50	2.50	5.00	4.00	3.75	5.00	1.75	2.50	-0.227539	0.083008	0.989258	-1.820000	7.210000	-2.870000	453.00	0.081059	-0.111583		
3.50	7.25	6.75	7.75	7.25	5.25	5.25	2.25	5.00	6.50	7.50	7.50	6.75	7.25	19.25	1.50	2.00	-0.239258	0.080566	0.977051	-7.210000	3.780000	-1.400000	1002.00	0.042009	-0.047807	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.197266	0.080566	1.219727	-3.080000	65.169998	-12.670000	16.00	0.000000	0.000000		
3.60	5.00	3.00	3.75	4.75	3.25	2.25	2.25	4.00	7.50	9.25	8.75	8.00	7.50	23.25	2.25	3.50	-0.240234	0.067871	0.956055	-1.680000	12.040000	-2.520000	920.00	0.130748	-0.032112	0.00	0.50	0.00	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.548828	-0.137207	0.987305	-25.410000	-121.800003	-67.830002	9.00	0.000000	0.000000		
3.70	3.75	0.25	3.50	2.25	2.75	1.25	2.00	3.00	8.00	9.75	9.25	7.50	6.75	25.00	4.50	2.00	-0.249512	0.065918	0.958984	-3.080000	7.350000	-2.660000	858.00	0.184434	-0.006983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.652832	0.283203	0.647461	17.500000	-2.450000	102.620003	0.00	0.000000	0.000000		
3.80	0.75	0.75	3.50	1.25	2.25	1.50	1.75	1.75	7.50	8.75	8.75	7.00	5.75	23.75	3.75	2.75	-0.256348	0.055664	0.963379	-0.770000	8.540000	-2.520000	754.00	0.209696	-0.001922	3.50	4.50	1.00	2.75	0.75	2.00	0.00	0.75	1.00	0.75	0.50	0.50	0.25	2.75	0.25	0.25	0.110840	-0.017090	1.025391	19.530001	27.230000	-5.740000	203.00	-0.130268	-0.064042		
3.90	0.00	0.50	1.00	0.75	1.00	0.00	0.50	0.00	4.75	4.50	3.25	2.00	1.25	16.00	2.00	0.75	-0.262207	0.050293	0.959961	-0.700000	11.830000	-3.780000	347.00	0.262510	0.071151	5.75	5.75	2.75	5.00	2.25	5.00	1.25	5.00	6.50	2.25	3.25	2.25	3.25	9.00	2.00	2.00	-0.234375	0.054688	0.960938	0.350000	0.070000	-6.160000	618.00	0.012417	-0.060853		
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.75	0.75	0.00	0.00	6.00	0.25	1.25	-0.276367	0.068848	0.949219	-1.330000	16.030001	-1.120000	73.00	0.366521	0.090888	7.75	8.25	4.25	6.75	4.25	7.50	2.00	6.50	7.75	3.00	4.50	5.00	5.50	10.25	2.50	3.25	-0.212402	0.075684	0.967773	2.240000	-6.370000	-1.400000	867.00	0.001736	-0.076621		
4.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.00	0.50	0.50	0.00	0.00	-0.286621	0.048340	0.957031	-5.810000	11.900000	-7.490000	13.00	0.000000	0.000000	8.25	8.50	4.75	7.75	5.00	9.25	2.25	7.50	8.00	3.00	5.00	5.75	6.25	10.25	2.75	3.50	-0.205078	0.071777	0.966309	0.910000	-4.060000	0.210000	956.00	-0.003352	-0.085972		15.00
